simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,4984383;0,5022298;0,5019448;0,5042405;0,4985161;0,5025352;0,4971449;0,5021567;0,4992582;0,5;23;52,58599943744503;0,0;0,0;0,0;0,0;0,0
500,0572;0,5016342;0,4967721;0,5027913;0,5036662;0,5012658;0,4993196;0,4954874;0,5007132;0,4994246;0,5;135;55,18990006292202;0,007407407;0,0;0,0;0,007407407;0,0
1000,003;0,4987298;0,4818577;0,5080817;0,5006473;0,5032148;0,5016723;0,4988967;0,5078943;0,5020836;0,5;111;50,41799257947614;0,1531532;0,009009009;0,0;0,1261261;0,01801802
1500,014;0,4878544;0,4550693;0,5244582;0,5011092;0,5134268;0,5069727;0,5081214;0,516997;0,5144649;0,5;108;53,00803154645056;0,6111111;0,0;0,02777778;0,5833333;0,0
2000,023;0,4849006;0,4441104;0,5460474;0,5145659;0,5389284;0,5227122;0,5080481;0,5116005;0,5175003;0,5;116;56,17794614643504;1,034483;0,0;0,0862069;0,9482759;0,0
2500,012;0,5055776;0,4309931;0,5458049;0,519245;0,5449381;0,5214048;0,5123071;0,5113297;0,5090794;0,5;125;64,1308606489796;1,072;0,0;0,072;1,0;0,0
3000,039;0,5210878;0,4047529;0,5464567;0,515491;0,5463587;0,5058761;0,5315319;0,5008038;0,50745;0,5;125;56,52552066920069;1,072;0,008;0,064;1,0;0,0
3500,064;0,538746;0,3706432;0,5613177;0,4952234;0,5488825;0,4932794;0,5404564;0,4849862;0,5106174;0,5;133;58,75610154464885;1,097744;0,0;0,09774436;1,0;0,0
4000,026;0,5387059;0,3448137;0,5634987;0,4876847;0,5571822;0,4913141;0,5383134;0,4628728;0,5136312;0,5;136;59,60860487698324;1,051471;0,0;0,05147059;1,0;0,0
4500,044;0,5439364;0,3305017;0,5483849;0,4987118;0,566907;0,4957922;0,5457188;0,4563694;0,5292005;0,5;146;63,28625719388424;0,9931507;0,0;0,0;0,9931507;0,0
