simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,491821;0,5121392;0,5198948;0,509283;0,50192;0,5607697;0,4513788;0,5440598;0,5223054;0,5;25;46,052560780725244;0,12;0,04;0,08;0;0
500,001;0,8120037;0,7050133;0,8558776;0,416553;0,2600196;0,3062387;0,602492;0,6448281;0,8018305;0,5;2;64,30114495442595;0,0;0,0;0,0;0;0
1000,004;0,4380235;0,9355958;0,8355468;0,7148411;0,236545;0,6054565;0,6471357;0,7484648;0,9861504;0,5;3;68,97493831854757;0,0;0,0;0,0;0;0
1500,001;0,6583334;0,9215781;1,0;0,8465905;0,2445454;0,4779355;0,4522899;0,5948974;0,8881016;0,5;3;64,74743162695827;0,0;0,0;0,0;0;0
2000,002;0,6300662;1,0;0,8639123;0,8312912;0,6454611;0,3157812;0,1648474;0,6599036;0,9286985;0,5;3;62,416266107559444;0,0;0,0;0,0;0;0
2500,001;0,7628705;1,0;1,0;0,9470719;0,597052;0,319724;0,2472711;0,6418456;1,0;0,5;2;64,25591593761621;0,0;0,0;0,0;0;0
3000,016;0,7628705;1,0;1,0;0,9470719;0,597052;0,319724;0,2472711;0,6418456;1,0;0,5;2;62,893384109302566;0,0;0,0;0,0;0;0
3500,0;0,7628705;1,0;1,0;0,9470719;0,597052;0,319724;0,2472711;0,6418456;1,0;0,5;2;62,345279900624064;0,0;0,0;0,0;0;0
4000,003;0,7628705;1,0;1,0;0,9470719;0,597052;0,319724;0,2472711;0,6418456;1,0;0,5;2;62,03754092863808;0,0;0,0;0,0;0;0
4500,004;0,7628705;1,0;1,0;0,9470719;0,597052;0,319724;0,2472711;0,6418456;1,0;0,5;2;73,93025762131957;0,0;0,0;0,0;0;0
