simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,4993073;0,496378;0,4989548;0,4997602;0,5042619;0,5078149;0,4954039;0,5138659;0,5002199;0,5;20;32,42961764559214;0,0;0;0,0;0;0
500,0041;0,5505637;0,4920684;0,4804133;0,4766228;0,4972889;0,5158511;0,4957878;0,5204508;0,5131015;0,5;14;37,01283986449689;0,0;0;0,0;0;0
1000,004;0,6789275;0,4889688;0,5541819;0,5373122;0,5557751;0,53173;0,4673943;0,5129352;0,4411951;0,5;10;37,59671037481583;0,1;0;0,1;0;0
1500,001;0,6804888;0,4860299;0,5437408;0,5103682;0,5696972;0,5577185;0,4692688;0,5177121;0,3602377;0,5;12;31,147749939496013;0,0;0;0,0;0;0
2000,0;0,7983301;0,5331385;0,6181239;0,536527;0,6380525;0,5567808;0,4394519;0,5349146;0,350748;0,5;11;34,78845997804594;0,0;0;0,0;0;0
2500,001;0,8354533;0,5562432;0,6349512;0,5658697;0,6692596;0,5617547;0,4155664;0,4671483;0,3045484;0,5;9;32,255162785711285;0,0;0;0,0;0;0
3000,004;0,8079243;0,5286376;0,5885209;0,6227688;0,6327147;0,5362049;0,4959885;0,3966496;0,3078901;0,5;10;31,35681907991578;0,0;0;0,0;0;0
3500,006;0,9074113;0,5159956;0,625086;0,5176954;0,6584519;0,5853005;0,3752648;0,4084786;0,3155505;0,5;9;33,17017129776781;0,0;0;0,0;0;0
4000,004;0,9067809;0,4936171;0,6066468;0,5709991;0,5604635;0,5509965;0,3847349;0,3815133;0,2798883;0,5;9;27,692166874816223;0,0;0;0,0;0;0
4500,005;0,9095765;0,4978427;0,629507;0,5649461;0,5641377;0,5703794;0,3691102;0,3958614;0,2919455;0,5;9;30,10007990504664;0,0;0;0,0;0;0
