simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes;
0;0,4975076;0,5384519;0,43686;0,4761322;0,4755948;0,4570191;0,4686387;0,5310484;0,5179971;0,5;8;5,15331;0;0;0;0;0
500,0513;0,4345016;0,7204093;0,4617761;0,42959;0,3793262;0,331609;0,4743691;0,2502331;0,5755455;0,5;2;20,45588;0;0;0;0;0
1000,053;0,5513689;0,8547699;0,4777645;0,4610724;0,3956857;0,3440958;0,5656159;0,2153153;0,5960054;0,5;2;22,90976;0;0;0;0;0
1500,072;0,5528626;0,7763325;0,5240887;0,2658642;0,6251808;0,3618038;0,598243;0,05964399;0,727092;0,5;2;21,11424;0;0;0;0;0
2000,041;0,7519419;0,8979675;0,59267;0,08945724;0,7982616;0,3980598;0,5290486;0,19115;0,8445954;0,5;1;49,30286;0;0;0;0;0
2500,02;0,7758815;0,8855165;0,6996022;0;0,9251422;0,4953583;0,4167345;0,1965512;0,6409056;0,5;2;23,48312;0;0;0;0;0
3000,052;0,7860882;0,8320362;0,7549112;0,03834818;0,8942755;0,5577064;0,4414589;0,2427876;0,6454887;0,5;3;16,21387;0;0;0;0;0
3500,028;0,9041474;0,9800478;0,6769932;0,04654009;0,9584349;0,4916383;0,652118;0,120083;0,8080615;0,5;2;25,43945;0;0;0;0;0
4000,009;0,9971392;0,9818927;0,8939601;0,1088335;0,9148358;0,7354631;0,7467002;0,05810401;0,8380144;0,5;2;26,01215;0;0;0;0;0
4500,026;0,9471067;0,961596;0,8573493;0,1246507;0,8864496;0,7086462;0,9841693;0,09139636;0,9786144;0,5;4;13,61115;0;0;0;0;0
