simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,4998479;0,4935641;0,4946036;0,4953875;0,4975137;0,491927;0,498145;0,5057561;0,4973616;0,5;32;63,41616754013296;0;0;0;0;0
500,0033;0,5235569;0,4502955;0,487341;0,526437;0,5342869;0,5175257;0,5382877;0,4744732;0,5525402;0,5;3;66,05494567786997;0;0;0;0;0
1000,001;0,4932101;0,4864877;0,4794514;0,4838685;0,5571421;0,5249884;0,5734886;0,4903458;0,5849736;0,5;2;56,77395429446221;0;0;0;0;0
1500,001;0,5126806;0,4793003;0,4522273;0,4760191;0,5379188;0,541217;0,591523;0,521353;0,615361;0,5;3;60,25322807716894;0;0;0;0;0
2000,0;0,4980767;0,495112;0,489725;0,4681213;0,4656842;0,602258;0,617063;0,5084922;0,5994198;0,5;3;60,083730339342786;0;0;0;0;0
2500,004;0,5212215;0,4442625;0,490703;0,5065361;0,501424;0,5884225;0,5950841;0,5214844;0,6001559;0,5;2;57,61114567911385;0;0;0;0;0
3000,001;0,5212215;0,4442625;0,490703;0,5065361;0,501424;0,5884225;0,5950841;0,5214844;0,6001559;0,5;2;57,7487901754595;0;0;0;0;0
3500,001;0,4985341;0,4600992;0,519068;0,4820341;0,4852845;0,5698914;0,5975591;0,554419;0,5811208;0,5;2;66,68763164161045;0;0;0;0;0
4000,003;0,4749181;0,4677077;0,5236389;0,4821476;0,4846026;0,5417582;0,621389;0,5513328;0,5863625;0,5;2;66,08612779850512;0;0;0;0;0
4500,001;0,4609698;0,4575022;0,5266248;0,4620959;0,4760062;0,5408157;0,6244632;0,5810448;0,5856752;0,5;2;68,79695629955913;0;0;0;0;0
